idsensore,data,valore
6044,2021-01-01,130.6573426573426573
6044,2021-01-02,148.4861111111111111
6044,2021-01-03,122.5833333333333333
6044,2021-01-04,100.0486111111111111
6044,2021-01-05,130.8402777777777778
6044,2021-01-06,211.4236111111111111
6044,2021-01-07,192.6527777777777778
6044,2021-01-08,166.2222222222222222
6044,2021-01-09,121.1597222222222222
6044,2021-01-10,147.1805555555555556
6044,2021-01-11,172.4236111111111111
6044,2021-01-12,249.9444444444444444
6044,2021-01-13,104.2916666666666667
6044,2021-01-14,22.7092198581560284
6044,2021-01-15,110.7291666666666667
6044,2021-01-16,131.0500000000000000
6044,2021-01-17,125.9444444444444444
6044,2021-01-18,185.4722222222222222
6044,2021-01-19,170.5416666666666667
6044,2021-01-20,113.2291666666666667
6044,2021-01-21,168.2000000000000000
6044,2021-01-22,171.4513888888888889
6044,2021-01-23,181.9861111111111111
6044,2021-01-24,195.4930555555555556
6044,2021-01-25,205.3819444444444444
6044,2021-01-26,295.0347222222222222
6044,2021-01-27,190.2638888888888889
6044,2021-01-28,225.1388888888888889
6044,2021-01-29,179.1597222222222222
6044,2021-01-30,162.8958333333333333
6044,2021-01-31,216.3958333333333333
6044,2021-02-01,132.0972222222222222
6044,2021-02-02,193.7152777777777778
6044,2021-02-03,146.1111111111111111
6044,2021-02-04,210.9236111111111111
6044,2021-02-05,149.9861111111111111
6044,2021-02-06,97.8819444444444444
6044,2021-02-07,137.1527777777777778
6044,2021-02-08,219.4861111111111111
6044,2021-02-09,121.5486111111111111
6044,2021-02-10,134.2569444444444444
6044,2021-02-11,134.9305555555555556
6044,2021-02-12,96.9097222222222222
6044,2021-02-13,133.0486111111111111
6044,2021-02-14,237.1111111111111111
6044,2021-02-15,190.1666666666666667
6044,2021-02-16,255.8680555555555556
6044,2021-02-17,221.8819444444444444
6044,2021-02-18,155.3263888888888889
6044,2021-02-19,213.2500000000000000
6044,2021-02-20,233.1666666666666667
6044,2021-02-21,105.5694444444444444
6044,2021-02-22,149.9097222222222222
6044,2021-02-23,231.6597222222222222
6044,2021-02-24,215.2916666666666667
6044,2021-02-25,155.6736111111111111
6044,2021-02-26,154.2222222222222222
6044,2021-02-27,87.9236111111111111
6044,2021-02-28,113.8333333333333333
6044,2021-03-01,148.9652777777777778
6044,2021-03-02,129.7430555555555556
6044,2021-03-03,178.4722222222222222
6044,2021-03-04,213.0347222222222222
6044,2021-03-05,215.7638888888888889
6044,2021-03-06,115.9027777777777778
6044,2021-03-07,145.8125000000000000
6044,2021-03-08,108.5138888888888889
6044,2021-03-09,129.5555555555555556
6044,2021-03-10,143.6944444444444444
6044,2021-03-11,110.2847222222222222
6044,2021-03-12,204.9791666666666667
6044,2021-03-13,109.6875000000000000
6044,2021-03-14,273.7291666666666667
6044,2021-03-15,268.4027777777777778
6044,2021-03-16,251.0416666666666667
6044,2021-03-17,136.5208333333333333
6044,2021-03-18,104.7916666666666667
6044,2021-03-19,91.9444444444444444
6044,2021-03-20,164.0486111111111111
6044,2021-03-21,142.7361111111111111
6044,2021-03-22,162.9652777777777778
6044,2021-03-23,118.8888888888888889
6044,2021-03-24,165.0069444444444444
6044,2021-03-25,205.7777777777777778
6044,2021-03-26,193.8263888888888889
6044,2021-03-27,199.5208333333333333
6044,2021-03-28,174.7986111111111111
6044,2021-03-29,162.2083333333333333
6044,2021-03-30,118.1180555555555556
6044,2021-03-31,136.2777777777777778
6044,2021-04-01,209.9791666666666667
