idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,datastop
9931,Direzione Vento,°,677,Cremona Via Fatebenefratelli,43,CR,2008-09-12T00:00:00.000,N,4999315,582066,10.04384767,45.14254358,"{'type': 'Point', 'coordinates': [10.04384767, 45.14254358]}",4,
14014,Temperatura,°C,1077,Oltre il Colle Zambla,1138,BG,2012-01-13T00:00:00.000,N,5082261,561209,9.78893967,45.89119304,"{'type': 'Point', 'coordinates': [9.78893967, 45.89119304]}",1,
17418,Velocità Vento,m/s,1862,Broni,77,PV,2018-03-22T00:00:00.000,N,4987916,517630,9.22386082,45.04448039,"{'type': 'Point', 'coordinates': [9.22386082, 45.04448039]}",6,
2434,Umidità Relativa,%,132,Bergamo v.Stezzano,211,BG,1993-01-01T00:00:00.000,N,5056541,551321,9.65876847,45.66051928,"{'type': 'Point', 'coordinates': [9.65876847, 45.66051928]}",1,
17592,Altezza Neve,cm,1889,Val Masino Merdarola,2280,SO,2007-12-21T00:00:00.000,N,5119691,544851,9.58163635,46.22931619,"{'type': 'Point', 'coordinates': [9.58163635, 46.22931619]}",7,
6029,Direzione Vento,°,620,Milano v.Brera,122,MI,1999-11-18T00:00:00.000,N,5035365,514782,9.18911083,45.47165828,"{'type': 'Point', 'coordinates': [9.18911083, 45.47165828]}",8,
8167,Precipitazione,mm,860,Angera v.le Repubblica,202,VA,2000-07-05T00:00:00.000,N,5068671,466871,8.57392189,45.77080719,"{'type': 'Point', 'coordinates': [8.57392189, 45.77080719]}",3,
11752,Velocità Vento,m/s,212,Canzo,1233,CO,2008-11-26T00:00:00.000,N,5077224,524701,9.31813681,45.84814356,"{'type': 'Point', 'coordinates': [9.31813681, 45.84814356]}",3,
4065,Precipitazione,mm,147,Cinisello Balsamo Parco Nord,142,MI,2002-05-30T00:00:00.000,N,5043257,516051,9.20560341,45.54266467,"{'type': 'Point', 'coordinates': [9.20560341, 45.54266467]}",8,
18264,Livello Idrometrico,cm,1865,Cernobbio Ponte Nuovo,205,CO,2018-07-27T00:00:00.000,N,5075911,505257,9.06769274,45.83674293,"{'type': 'Point', 'coordinates': [9.06769274, 45.83674293]}",3,
14279,Altezza Neve,cm,1347,Barzio Piani di Bobbio,1713,LC,2012-10-15T00:00:00.000,N,5089669,538832,9.50113918,45.95949713,"{'type': 'Point', 'coordinates': [9.50113918, 45.95949713]}",5,
19100,Velocità Vento,m/s,586,Costa Volpino v.Nazionale,192,BG,2014-01-24T00:00:00.000,N,5075429,585212,10.09707131,45.82716061,"{'type': 'Point', 'coordinates': [10.09707131, 45.82716061]}",1,
17612,Altezza Neve,cm,1545,San Siro Alpe Rescascìa,1285,CO,2019-11-07T00:00:00.000,N,5102069,518430,9.23833270,46.07194520,"{'type': 'Point', 'coordinates': [9.2383327, 46.0719452]}",7,
5890,Temperatura,°C,598,San Rocco al Porto v.Matteotti,50,LO,2002-01-23T00:00:00.000,N,4992297,555154,9.70079278,45.08199189,"{'type': 'Point', 'coordinates': [9.70079278, 45.08199189]}",8,
22017,Radiazione Globale,W/m²,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,2019-10-14T00:00:00.000,N,5067376,591417,10.17540709,45.75389593,"{'type': 'Point', 'coordinates': [10.17540709, 45.75389593]}",2,
9397,Umidità Relativa,%,1237,Monno,1728,BS,2009-02-17T00:00:00.000,N,5122691,600885,10.30880700,46.25030272,"{'type': 'Point', 'coordinates': [10.308807, 46.25030272]}",7,
17456,Direzione Vento,°,1871,Tavernola Bergamasca Gallinarga,185,BG,2018-11-27T00:00:00.000,N,5060849,582076,10.05422004,45.69633020,"{'type': 'Point', 'coordinates': [10.05422004, 45.6963302]}",1,
