idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
20591,BlackCarbon,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N,2023-05-08T00:00:00.000,5077479,530713,45.85019631,9.39558125,"{'type': 'Point', 'coordinates': [9.39558125, 45.85019631]}",10,10,5,
6701,Biossido di Azoto,µg/m³,643,Pavia p.zza Minerva,77,PV,Pavia,N,2002-03-03T00:00:00.000,5003660,511522,45.18633544,9.14667703,"{'type': 'Point', 'coordinates': [9.14667703, 45.18633544]}",7,7,6,
6781,Biossido di Azoto,µg/m³,652,Brescia v.Turati,154,BS,Brescia,N,1999-01-13T00:00:00.000,5043626,596168,45.53953611,10.23178722,"{'type': 'Point', 'coordinates': [10.23178722, 45.53953611]}",6,6,2,
5652,Biossido di Zolfo,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N,1998-12-06T00:00:00.000,5047718,487687,45.58289429,8.84216546,"{'type': 'Point', 'coordinates': [8.84216546, 45.58289429]}",1,1,3,
20571,PM10 (SM2005),µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N,2023-01-18T00:00:00.000,4975705,619759,44.92469933,10.51750417,"{'type': 'Point', 'coordinates': [10.51750417, 44.92469933]}",9,9,4,
10405,PM10 (SM2005),µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,2008-12-19T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
12597,Cadmio,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,5038450,543458,45.49822794,9.55624181,"{'type': 'Point', 'coordinates': [9.55624181, 45.49822794]}",5,5,1,
5551,Biossido di Azoto,µg/m³,548,Milano v.Senato,118,MI,Milano,N,1995-04-21T00:00:00.000,5035238,515435,45.47050100,9.19746075,"{'type': 'Point', 'coordinates': [9.19746075, 45.470501]}",4,4,8,
6246,Ossidi di Azoto,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N,1996-11-06T00:00:00.000,5109468,529713,46.13814090,9.38468725,"{'type': 'Point', 'coordinates': [9.38468725, 46.1381409]}",10,10,5,
5567,Biossido di Azoto,µg/m³,564,Erba v. Battisti,279,CO,Erba,N,2009-06-13T00:00:00.000,5072803,517232,45.80857380,9.22177920,"{'type': 'Point', 'coordinates': [9.2217792, 45.8085738]}",2,2,3,
5561,Biossido di Azoto,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N,1998-12-06T00:00:00.000,5047718,487687,45.58289429,8.84216546,"{'type': 'Point', 'coordinates': [8.84216546, 45.58289429]}",1,1,3,
5557,Biossido di Azoto,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N,1997-03-28T00:00:00.000,5052646,502058,45.62735705,9.02640138,"{'type': 'Point', 'coordinates': [9.02640138, 45.62735705]}",1,1,3,
30163,Biossido di Azoto,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2013-12-13T00:00:00.000,5040636,593101,45.51306214,10.19190606,"{'type': 'Point', 'coordinates': [10.19190606, 45.51306214]}",6,6,2,
6330,Ossidi di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,N,1995-11-01T00:00:00.000,5056480,512203,45.66099200,9.16022500,"{'type': 'Point', 'coordinates': [9.160225, 45.660992]}",12,12,5,
6428,Ossidi di Azoto,µg/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2002-01-01T00:00:00.000,5014860,567712,45.28398000,9.86340258,"{'type': 'Point', 'coordinates': [9.86340258, 45.28398]}",8,8,4,
12607,Nikel,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,5034328,490635,45.46242074,8.88021388,"{'type': 'Point', 'coordinates': [8.88021388, 45.46242074]}",4,4,8,
6761,Biossido di Azoto,µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N,1983-01-01T00:00:00.000,5043674,595467,45.54006456,10.22281989,"{'type': 'Point', 'coordinates': [10.22281989, 45.54006456]}",6,6,2,
9861,Ozono,µg/m³,673,Voghera v.Pozzoni,90,PV,Voghera,N,2005-07-05T00:00:00.000,4982900,500665,44.99955481,9.00844961,"{'type': 'Point', 'coordinates': [9.00844961, 44.99955481]}",7,7,6,
5958,Biossido di Azoto,µg/m³,629,Crema v.XI febbraio,79,CR,Crema,N,1992-11-01T00:00:00.000,5023885,555127,45.36631075,9.70395139,"{'type': 'Point', 'coordinates': [9.70395139, 45.36631075]}",8,8,4,
