Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,3.157058826502866,4.458984003050586,0.8982066566294533,1.5948675825157512,2.0465426083404203,0.9769672112200711
Gradient Boosting,3.1625314063000327,4.637413582790317,0.889896985480659,0.12791793809574387,0.16316150344801555,0.9998536002483511
Ridge Regression,3.189849529165543,4.754125422716923,0.8842852236280995,2.8093334855570142,3.7689997371754753,0.921880913273939
Support Vector Machine,3.1918560398543683,4.832795031238294,0.8804239225773891,2.7499293639851756,3.83483880995145,0.9191278161296018
