Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,0.14516211020016634,0.22459941489964283,0.19937369213936784,0.31698146408223044,0.9523433338999273,0.8438294836116975
Gradient Boosting,0.09699785748844326,0.18957129429421346,0.13396804340162946,0.26786953062546104,0.978482570762838,0.8884735327147473
Ridge Regression,0.24752938392148927,0.24937137530967116,0.35406215925906964,0.3377109166556254,0.8497041525830776,0.8227356054932202
Support Vector,0.12884354654120878,0.22444164559080934,0.20442813963515039,0.3087724985172769,0.94989635666734,0.8518135355717287
