Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,3.5058139026255506,6.243230717492593,0.9658765423683723,2.28016568213333,3.472917952560292,0.9891303888682857
Gradient Boosting,3.2056735525773923,5.871480045033722,0.9698192908592093,1.0834710653067725,1.5211276045735547,0.9979147589966652
Ridge Regression,3.9337083452797694,6.486642761889085,0.9631638508295718,3.7256766538411217,5.78931200648649,0.9697949977529176
Support Vector Machine,3.378896728102741,5.832945128402196,0.9702141468893204,2.7659124241313555,4.819064778537399,0.979070903086274
