Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,2.9883084289261324,3.9879910013882545,3.8155267719608665,5.3263150592821615,0.9542311725036462,0.9164517795501892
Gradient Boosting,0.8693300890767435,3.2332820703136345,1.1343255843769897,4.493278548542939,0.9959548350864331,0.9405420153392967
Ridge Regression,4.400140970356263,4.4207861859840385,5.6209814214043625,5.778742909579438,0.9006689385828889,0.9016554613969893
Support Vector,2.1795567184372757,3.544733221506573,3.5531833418162995,4.89035819403835,0.9603086371450315,0.9295688401577236
