Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,5.6914123014716855,7.105973814381459,7.495061677736776,9.237921122986968,0.951044764062415,0.9193525199536412
Gradient Boosting,6.134268342261218,7.0354631291289715,8.2089071422586,9.171913499934384,0.9412754886179566,0.920500901707249
Ridge Regression,7.611952010113627,7.574013220595298,10.008744146148706,9.687810179014363,0.9127012750002149,0.9113061425099949
Support Vector,6.479251903920306,6.832291251510897,9.040730601250429,9.087164091551234,0.9287711746731289,0.9219632735339109
