Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,4.834273441932806,6.5473748413621,6.117094228769274,8.346154485849775,0.8863493791473491,0.7827139661435673
Gradient Boosting,5.155208452414276,6.44935216457777,6.595831908976965,8.185463972462665,0.8678641598853292,0.7910003411956373
Ridge Regression,6.319471217400466,6.388724942506567,8.142927574882746,8.19613317457524,0.7986078141033043,0.7904551521031666
Support Vector,5.94988828694813,6.141302906034387,7.779895293849891,7.937216662598547,0.8161646714288504,0.8034851178299839
