Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,5.903915371710226,7.620065363678957,7.6668084106111545,10.625757825412498,0.823981789380663,0.6829850397870472
Gradient Boosting,6.281758864212421,7.513170484681083,8.448596911362525,10.586975848674381,0.7862542143359735,0.6852949043241674
Ridge Regression,7.998537122284064,8.390346587643448,10.576200799303026,11.511805605347194,0.6650440044107376,0.6279110054952344
Support Vector,6.9550240423815595,7.629712511920403,9.557153694666324,10.742731999091273,0.7264822464051435,0.6759668720045959
