Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,0.2075334468096859,0.2948804461567692,0.28522217261811234,0.42840530910519725,0.9174979264808053,0.8078559662201084
Gradient Boosting,0.22744323955773282,0.2853402436706763,0.3205920056236158,0.4126797239734933,0.8957673754573263,0.8217032290088216
Ridge Regression,0.30694492962724834,0.32521624238680075,0.4325469487278852,0.44492063841252916,0.8102574198430605,0.7927558316827709
Support Vector,0.2542250875199321,0.28285480486392667,0.37706623407888024,0.4106508111539116,0.8558105174266695,0.8234520881203171
