Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,4.495381645930071,6.020123419100879,5.975593471849444,8.433704088374512,0.8342789730165099,0.7042804475623938
Gradient Boosting,4.824120632590419,5.968719221452275,6.578032993728657,8.33537225641121,0.7991796948637109,0.7111360653134924
Ridge Regression,6.170137973706999,6.42886257113476,8.26189941616845,8.723196040438246,0.6832071766511788,0.6836305148751575
Support Vector,5.312681581677378,5.867173102669769,7.490589585437078,8.201006048462828,0.7395960710352166,0.7203739764926436
