idsensore,data,valore
10273,2021-10-16,58
10273,2021-10-17,45
10273,2021-10-18,54
10273,2021-10-19,78
10273,2021-10-20,71
10273,2021-10-21,30
10273,2021-10-22,43
10273,2021-10-23,50
10273,2021-10-24,25
10273,2021-10-25,29
10273,2021-10-26,52
10273,2021-10-27,49
10273,2021-10-28,59
10273,2021-10-29,63
10273,2021-10-30,54
10273,2021-10-31,27
10273,2021-11-01,22
10273,2021-11-02,23
10273,2021-11-03,15
10273,2021-11-04,12
10273,2021-11-05,26
10273,2021-11-06,22
10273,2021-11-07,24
10273,2021-11-08,31
10273,2021-11-09,26
10273,2021-11-10,29
10273,2021-11-11,41
10273,2021-11-12,45
10273,2021-11-13,47
10273,2021-11-14,11
10273,2021-11-15,17
10273,2021-11-16,33
10273,2021-11-17,35
10273,2021-11-18,34
10273,2021-11-19,30
10273,2021-11-20,28
10273,2021-11-21,25
10273,2021-11-22,18
10273,2021-11-23,19
10273,2021-11-24,33
10273,2021-11-25,31
10273,2021-11-26,26
10273,2021-11-27,29
10273,2021-11-28,11
10273,2021-11-29,11
10273,2021-11-30,16
10273,2021-12-01,29
10273,2021-12-02,40
10273,2021-12-03,45
10273,2021-12-04,41
10273,2021-12-05,51
10273,2021-12-06,56
10273,2021-12-07,52
10273,2021-12-08,31
10273,2021-12-09,29
10273,2021-12-10,22
10273,2021-12-11,39
10273,2021-12-12,50
10273,2021-12-13,66
10273,2021-12-14,75
10273,2021-12-15,74
10273,2021-12-16,83
10273,2021-12-17,66
10273,2021-12-18,50
10273,2021-12-19,53
10273,2021-12-20,39
10273,2021-12-21,53
10273,2021-12-22,52
10273,2021-12-23,38
10273,2021-12-24,52
10273,2021-12-25,55
10273,2021-12-26,56
10273,2021-12-27,61
10273,2021-12-28,56
10273,2021-12-29,40
10273,2021-12-30,50
10273,2021-12-31,49
10273,2022-01-01,98
10273,2022-01-02,54
10273,2022-01-03,35
10273,2022-01-04,48
10273,2022-01-11,59
10273,2022-01-12,52
10273,2022-01-13,65
10273,2022-01-14,55
10273,2022-01-15,62
10273,2022-01-16,57
10273,2022-01-17,46
10273,2022-01-18,69
10273,2022-01-19,78
10273,2022-01-20,75
10273,2022-01-21,61
10273,2022-01-22,58
10273,2022-01-23,65
10273,2022-01-24,77
10273,2022-01-25,59
10273,2022-01-26,66
10273,2022-01-27,50
10273,2022-01-28,45
10273,2022-01-29,56
10273,2022-01-30,37
10273,2022-01-31,42
10273,2022-02-01,12
10273,2022-02-02,19
10273,2022-02-03,32
10273,2022-02-04,43
10273,2022-02-05,67
10273,2022-02-06,86
10273,2022-02-07,41
10273,2022-02-08,37
10273,2022-02-09,43
10273,2022-02-10,49
10273,2022-02-11,46
10273,2022-02-12,32
10273,2022-02-13,29
10273,2022-02-14,41
10273,2022-02-15,42
10273,2022-02-16,54
10273,2022-02-17,34
10273,2022-02-18,56
10273,2022-02-19,65
10273,2022-02-20,49
10273,2022-02-21,29
10273,2022-02-22,11
10273,2022-02-23,32
10273,2022-02-24,43
10273,2022-02-25,36
10273,2022-02-26,11
10273,2022-02-27,15
10273,2022-02-28,36
10273,2022-03-01,22
10273,2022-03-02,42
10273,2022-03-03,31
10273,2022-03-04,54
10273,2022-03-05,30
10273,2022-03-06,27
10273,2022-03-07,41
10273,2022-03-08,35
10273,2022-03-09,59
10273,2022-03-10,66
10273,2022-03-11,39
10273,2022-03-12,28
10273,2022-03-13,25
10273,2022-03-14,36
10273,2022-03-15,68
10273,2022-03-16,39
10273,2022-03-17,65
10273,2022-03-18,54
10273,2022-03-19,32
10273,2022-03-20,31
10273,2022-03-21,38
10273,2022-03-22,48
10273,2022-03-23,59
10273,2022-03-24,50
10273,2022-03-25,38
10273,2022-03-26,46
10273,2022-03-27,56
10273,2022-03-28,54
10273,2022-03-29,53
10273,2022-03-30,46
10273,2022-03-31,30
10273,2022-04-01,17
10273,2022-04-02,14
10273,2022-04-03,16
10273,2022-04-06,46
10273,2022-04-09,32
10273,2022-04-10,8
10273,2022-04-11,16
10273,2022-04-12,24
10273,2022-04-13,34
10273,2022-04-14,38
10273,2022-04-15,44
10273,2022-04-16,24
10273,2022-04-17,14
10273,2022-04-18,17
10273,2022-04-19,23
10273,2022-04-20,23
10273,2022-04-21,18
10273,2022-04-22,21
10273,2022-04-23,23
10273,2022-04-24,6
10273,2022-04-25,9
10273,2022-04-26,15
10273,2022-04-27,18
10273,2022-04-28,15
10273,2022-04-29,21
10273,2022-04-30,21
10273,2022-05-01,12
10273,2022-05-02,17
10273,2022-05-03,20
10273,2022-05-04,21
10273,2022-05-05,24
10273,2022-05-06,12
10273,2022-05-07,19
10273,2022-05-08,10
10273,2022-05-09,23
10273,2022-05-10,25
10273,2022-05-11,25
10273,2022-05-12,22
10273,2022-05-13,22
10273,2022-05-14,21
10273,2022-05-15,25
10273,2022-05-16,21
10273,2022-05-17,25
10273,2022-05-18,26
10273,2022-05-19,22
10273,2022-05-20,30
10273,2022-05-21,25
10273,2022-05-22,21
10273,2022-05-23,21
10273,2022-05-24,29
10273,2022-05-25,19
10273,2022-05-26,29
10273,2022-05-27,34
10273,2022-05-28,34
10273,2022-05-29,11
10273,2022-05-30,15
10273,2022-05-31,29
10273,2022-06-01,29
10273,2022-06-02,24
10273,2022-06-03,29
10273,2022-06-04,22
10273,2022-06-05,29
10273,2022-06-06,21
10273,2022-06-07,13
10273,2022-06-08,14
10273,2022-06-09,13
10273,2022-06-10,15
10273,2022-06-11,17
10273,2022-06-12,18
10273,2022-06-13,29
10273,2022-06-19,24
10273,2022-06-20,34
10273,2022-06-21,31
10273,2022-06-22,29
10273,2022-06-23,36
10273,2022-06-24,23
10273,2022-06-25,14
10273,2022-06-26,20
10273,2022-06-27,38
10273,2022-07-02,22
10273,2022-07-03,26
10273,2022-07-04,28
10273,2022-07-05,16
10273,2022-07-06,15
10273,2022-07-07,21
10273,2022-07-08,18
10273,2022-07-09,13
10273,2022-07-10,16
10273,2022-07-11,17
10273,2022-07-12,18
10273,2022-07-13,19
10273,2022-07-14,29
10273,2022-07-15,29
10273,2022-07-16,22
10273,2022-07-17,24
10273,2022-07-18,27
