idsensore,date,value
17127,2013-01-30T00:00:00.000,3.7792
17127,2013-01-31T00:00:00.000,3.8417
17127,2013-02-01T00:00:00.000,3.3458
17127,2013-02-02T00:00:00.000,2.3
17127,2013-02-03T00:00:00.000,1.4917
17127,2013-02-04T00:00:00.000,2.2
17127,2013-02-05T00:00:00.000,3.325
17127,2013-02-06T00:00:00.000,2.2208
17127,2013-02-07T00:00:00.000,1.2792
17127,2013-02-08T00:00:00.000,1.9917
17127,2013-02-09T00:00:00.000,2.0083
17127,2013-02-10T00:00:00.000,1.5333
17127,2013-02-11T00:00:00.000,1.6083
17127,2013-02-12T00:00:00.000,1.9292
17127,2013-02-13T00:00:00.000,2.7667
17127,2013-02-14T00:00:00.000,3.9083
17127,2013-02-15T00:00:00.000,4.8
17127,2013-02-16T00:00:00.000,4.2
17127,2013-02-17T00:00:00.000,2.7875
17127,2013-02-18T00:00:00.000,1.8875
17127,2013-02-19T00:00:00.000,3.1417
17127,2013-02-20T00:00:00.000,3.1417
17127,2013-02-26T00:00:00.000,1.97
17127,2013-02-27T00:00:00.000,3.2583
17127,2013-02-28T00:00:00.000,2.9458
17127,2013-03-01T00:00:00.000,3.0167
17127,2013-03-02T00:00:00.000,2.0167
17127,2013-03-03T00:00:00.000,2.6375
17127,2013-03-04T00:00:00.000,3.0083
17127,2013-03-05T00:00:00.000,2.1875
17127,2013-03-06T00:00:00.000,1.8458
17127,2013-03-07T00:00:00.000,2.0333
17127,2013-03-08T00:00:00.000,1.9458
17127,2013-03-09T00:00:00.000,1.9417
17127,2013-03-10T00:00:00.000,1.3
17127,2013-03-11T00:00:00.000,2.5167
17127,2013-03-12T00:00:00.000,1.6
17127,2013-03-13T00:00:00.000,2.3042
17127,2013-03-14T00:00:00.000,1.3417
17127,2013-03-15T00:00:00.000,0.8208
17127,2013-03-16T00:00:00.000,1.3708
17127,2013-03-17T00:00:00.000,1.0042
17127,2013-03-18T00:00:00.000,1.4792
17127,2013-03-19T00:00:00.000,1.8917
17127,2013-03-20T00:00:00.000,1.9833
17127,2013-03-21T00:00:00.000,1.1375
17127,2013-03-22T00:00:00.000,2.2792
17127,2013-03-23T00:00:00.000,1.7083
17127,2013-03-24T00:00:00.000,1.3375
17127,2013-03-25T00:00:00.000,1.8167
17127,2013-03-26T00:00:00.000,1.9
17127,2013-03-27T00:00:00.000,1.8208
17127,2013-03-28T00:00:00.000,1.7917
17127,2013-03-29T00:00:00.000,1.7958
17127,2013-03-30T00:00:00.000,1.9958
17127,2013-03-31T00:00:00.000,1.3417
17127,2013-04-01T00:00:00.000,1.1917
17127,2013-04-02T00:00:00.000,1.4
17127,2013-04-03T00:00:00.000,1.8875
17127,2013-04-04T00:00:00.000,1.6667
17127,2013-04-05T00:00:00.000,1.4167
17127,2013-04-06T00:00:00.000,1.8958
17127,2013-04-07T00:00:00.000,1.4917
17127,2013-04-08T00:00:00.000,1.5458
17127,2013-04-09T00:00:00.000,1.7583
17127,2013-04-10T00:00:00.000,1.675
17127,2013-04-11T00:00:00.000,1.8792
17127,2013-04-12T00:00:00.000,1.3091
17127,2013-04-13T00:00:00.000,1.1042
17127,2013-04-14T00:00:00.000,1.2125
17127,2013-04-15T00:00:00.000,1.6042
17127,2013-04-16T00:00:00.000,1.2958
17127,2013-04-17T00:00:00.000,1.425
17127,2013-04-18T00:00:00.000,1.8125
17127,2013-04-19T00:00:00.000,1.4583
17127,2013-04-20T00:00:00.000,0.8875
17127,2013-04-21T00:00:00.000,0.775
17127,2013-04-22T00:00:00.000,1.0792
17127,2013-04-23T00:00:00.000,1.2708
17127,2013-04-24T00:00:00.000,1.4667
17127,2013-04-25T00:00:00.000,1.5625
17127,2013-04-26T00:00:00.000,1.4708
