Model;Test MAE;Test RMSE;Test R2;Train MAE;Train RMSE;Train R2
RFR;2.4502;3.7352;0.9139;1.6823;2.4031;0.9637
GBoost;2.4301;3.7378;0.9146;0.9401;1.4203;0.9822
Ridge;2.6398;3.9131;0.9052;2.5554;3.7098;0.9107
SVR;2.4289;3.7409;0.9149;2.1834;3.3766;0.9319
