Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,6.487263715862707,8.50294875110567,0.8303972446006723,4.943078622161171,6.317570840923692,0.9124895941265614
Gradient Boosting,5.5292007350167856,7.410467441914311,0.8711794978716573,1.5083096298563974,1.9474446926297755,0.9916844740680291
Ridge Regression,6.898687331982555,8.99046527083473,0.8103913631027376,7.099522361706482,9.238635148223528,0.8128563525278502
Support Vector Machine,6.07766452046102,8.238422627120075,0.8407857574089874,5.630755581465409,7.75947664136771,0.8679846847025543
