Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,4.831237799694892,6.461234834401731,0.8815424452395115,3.4002973508450247,4.373258101736017,0.9423390702545237
Gradient Boosting,3.6445717540804448,4.982345132749429,0.9295632468465669,1.0270522559952284,1.31943521710176,0.9947513505787995
Ridge Regression,5.106668297358626,6.753562573190862,0.8705811405829206,4.846780394693399,6.34409981838132,0.8786579194270432
Support Vector Machine,4.503934764166379,6.094292875359929,0.8946151080102822,3.7366264372337032,5.268082577533124,0.9163286897324913
