Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,0.16885828910941872,0.2452137268764749,0.22254747585514756,0.3425672656824979,0.9474273919003536,0.8623269551401807
Gradient Boosting,0.03833510467388799,0.21410204452066992,0.04885536563734465,0.3067053102918209,0.997466396135367,0.8896430253740412
Ridge Regression,0.27878299648735816,0.27860516612223596,0.38444618350599374,0.39423314604232546,0.8431136046166859,0.8176677602902263
Support Vector,0.14615692216023224,0.23014673924856272,0.2268501582446533,0.3176977022247563,0.9453748867873023,0.8815908284090104
