date,value,Wind,Rain,Temp,Humidity
2014-03-03,31.0,0.6754,7.8,9.4827,80.0764
2014-03-20,85.0,1.3733,0.0,13.8514,81.3889
2014-04-16,19.0,1.085,0.0,13.3695,30.4444
2014-04-17,19.0,1.087,0.0,14.1808,27.6667
2014-05-18,12.0,2.7358,0.0,18.5681,38.1053
2014-06-19,18.0,1.8951,0.0,22.2535,46.6496
2014-06-20,11.0,2.565,0.0,23.6603,42.8472
2014-06-21,15.0,1.3883,0.0,23.1048,51.5139
2014-06-22,20.0,1.784,0.0,24.3111,52.3542
2014-06-23,14.0,2.0876,3.2,24.0272,54.2847
2014-06-24,9.0,1.3694,17.6,22.8382,63.4722
2014-06-26,12.0,1.3636,0.0,20.4897,69.9514
2014-06-27,21.0,1.2199,0.0,22.3592,62.5347
2014-06-28,13.0,1.3452,0.2,22.0195,65.7569
2014-06-29,20.0,1.7376,0.6,20.3878,69.9861
2014-06-30,5.0,1.9312,0.0,22.3986,42.2292
2014-07-01,11.0,1.9782,0.0,22.0638,49.2778
2014-07-02,5.0,1.6419,1.4,20.7529,62.2222
2014-07-03,4.0,1.3951,0.0,22.8516,51.5
2014-07-04,14.0,1.8126,4.0,20.7076,60.4097
2014-07-05,15.0,1.783,0.0,21.7543,64.2708
2014-07-06,12.0,1.2582,1.8,24.6051,55.4097
2014-07-07,8.0,1.4621,5.2,23.5181,62.7222
2014-07-08,6.0,2.6821,28.6,19.3994,69.9306
2014-07-09,4.0,2.0579,0.4,20.3198,48.0486
2014-07-10,14.0,1.5958,0.0,20.4482,54.0347
2014-07-11,11.0,1.5703,0.0,22.7032,55.2153
2014-07-12,14.0,1.2109,0.0,21.7312,60.3403
2014-07-13,14.0,1.2303,0.0,21.3888,62.3542
2014-07-14,12.0,1.3886,6.4,22.0936,65.4861
2014-07-15,19.0,1.0942,0.0,24.8517,54.3403
2014-07-16,15.0,1.4915,0.0,26.666,46.5417
2014-07-17,15.0,1.3768,0.0,27.4727,47.4514
2014-07-18,17.0,1.3867,0.0,27.1683,51.3958
2014-07-19,17.0,1.4257,0.0,28.459,47.1111
2014-07-20,23.0,1.1645,0.0,26.6478,54.6667
2014-07-21,6.0,1.3274,8.6,20.73,71.1111
2014-07-22,12.0,1.0535,2.4,22.6288,65.2361
2014-07-23,10.0,1.6801,3.6,24.2783,59.1319
2014-07-24,6.0,1.1232,3.0,20.3324,75.9306
2014-07-25,9.0,1.1147,0.8,23.2417,62.3958
2014-07-26,6.0,2.0268,34.8,19.1784,80.8681
2014-07-27,4.0,1.1492,0.0,22.7603,64.2708
2014-07-28,12.0,1.6131,13.8,23.3692,67.7708
2014-07-29,11.0,1.6112,32.0,19.2818,84.75
2014-07-30,5.0,1.1399,0.4,19.3004,74.2847
2014-07-31,14.0,1.0636,0.2,24.009,64.9236
2014-08-01,19.0,1.2287,0.0,25.525,62.4792
2014-08-02,4.0,1.5228,1.4,23.8482,61.8681
2014-08-03,5.0,1.4384,1.0,21.3961,68.7361
2014-08-04,6.0,1.4549,0.2,23.4692,60.9028
2014-08-06,9.0,1.3594,0.0,24.872,56.125
2014-08-07,13.0,1.3113,0.0,25.736,51.4028
2014-08-08,9.0,1.3301,0.0,25.9073,52.0972
2014-08-09,10.0,1.1318,3.6,24.7467,65.5139
2014-08-10,8.0,0.9579,2.0,26.1338,61.2847
2014-08-11,9.0,1.5924,0.0,25.8114,57.5139
2014-08-12,9.0,1.7468,0.0,25.436,58.6736
2014-08-13,4.0,1.4042,8.0,21.4137,76.0833
2014-08-15,4.0,1.7705,0.0,21.2644,56.2569
2014-08-16,1.0,1.4522,2.0,20.2948,56.0278
2014-08-17,0.0,1.3762,0.0,21.2553,51.2569
2014-08-18,4.0,1.7644,0.0,22.0062,53.625
2014-08-19,6.0,1.3104,22.6,18.8031,81.4375
2014-08-20,11.0,1.0138,1.6,19.5869,78.0
2014-08-21,8.0,1.15,0.0,20.9089,66.4653
2014-08-22,13.0,1.0088,0.0,22.0349,62.9167
2014-08-23,7.0,1.2177,26.0,19.7977,72.625
2014-08-24,16.0,0.9197,0.0,21.63,56.0764
2014-08-25,12.0,1.792,0.0,19.8245,63.1319
2014-08-26,11.0,1.1443,0.0,19.4956,73.1458
2014-08-27,6.0,1.6458,0.0,22.9567,63.0347
2014-08-28,13.0,1.3195,0.0,22.1765,65.5208
2014-08-29,15.0,1.0633,0.0,23.2638,59.3403
2014-08-30,14.0,0.9678,0.0,24.4747,58.3611
2014-08-31,14.0,1.3006,9.2,23.4084,59.6528
2014-09-01,0.0,2.4224,0.0,22.3825,39.4028
2014-09-02,6.0,0.9777,0.0,19.071,38.9344
2014-09-04,12.0,0.6174,0.0,22.6206,55.9101
2014-09-05,19.0,1.1101,0.0,21.7231,65.0556
2014-09-06,12.0,1.0586,0.0,23.0119,58.6806
2014-09-07,17.0,1.2827,0.0,23.3554,58.6597
2014-09-08,20.0,1.2604,0.0,24.2717,55.0972
2014-09-09,20.0,1.2697,0.2,23.2806,63.1944
2014-09-10,15.0,1.1342,0.2,21.5564,68.8542
2014-09-11,7.0,1.5799,0.0,20.3649,63.2847
2014-09-12,11.0,1.7375,0.0,19.3724,57.3125
2014-09-13,12.0,1.2258,0.0,20.1004,54.0556
2014-09-14,24.0,1.0648,0.0,21.0856,56.9514
2014-09-15,26.0,1.0841,0.0,21.4385,56.2569
2014-09-16,34.0,0.9986,0.0,21.2665,62.0347
2014-09-18,23.0,1.4056,0.0,19.4878,63.5625
2014-09-19,21.0,1.113,0.8,18.6918,76.0556
2014-09-20,41.0,0.919,0.2,19.6592,77.1528
2014-09-21,29.0,1.3167,0.0,21.8438,67.3611
2014-09-22,25.0,2.6783,0.0,22.6451,39.0903
2014-09-23,22.0,1.7934,0.0,18.7401,45.0
2014-09-24,15.0,1.4605,0.0,17.5341,45.9583
2014-09-25,22.0,1.1086,0.0,18.9658,46.9583
2014-09-26,44.0,1.2252,0.0,18.5866,58.8056
2014-09-27,55.0,0.9858,0.0,19.6874,59.3403
2014-09-28,55.0,1.0149,0.0,20.3897,58.3542
2014-09-29,51.0,1.029,0.0,20.2365,60.2986
2014-09-30,45.0,0.9685,0.6,19.6328,65.1806
2014-10-01,43.0,0.9922,1.6,19.0707,84.0
2014-11-18,11.0,1.2157,0.2,10.3505,72.3521
2014-11-19,31.0,1.1351,0.0,10.2103,79.4167
2014-11-20,49.0,0.7819,0.0,9.7713,78.4375
2014-11-21,48.0,0.8783,0.0,9.0428,78.5208
2014-11-22,68.0,1.009,0.0,9.8318,80.1528
2014-11-23,70.0,0.8788,0.0,9.7018,82.5139
2014-11-24,73.0,0.7267,0.0,11.1658,78.0069
2014-11-25,85.0,1.0217,1.0,11.0881,85.2917
2014-11-26,32.0,1.2003,6.6,7.9174,91.5903
2014-11-27,31.0,1.1255,5.4,7.2433,91.0972
2014-11-28,30.0,0.941,10.6,8.6878,93.5789
2014-11-29,28.0,0.7094,2.4,11.7996,92.4458
2014-11-30,26.0,0.9992,8.2,12.2551,93.5625
2014-12-01,9.0,1.5015,13.2,12.8404,89.9035
2014-12-02,16.0,0.9456,0.8,11.0415,92.2778
2014-12-03,14.0,1.2688,0.0,10.1029,77.2014
2014-12-04,14.0,0.9253,0.0,9.522,86.1944
2014-12-05,25.0,0.9062,2.8,9.9004,90.9097
2014-12-06,24.0,0.7847,0.6,10.6282,87.3611
2014-12-07,11.0,1.2765,0.2,9.3798,83.1111
2014-12-08,27.0,0.9545,0.0,6.7338,91.8542
2014-12-09,12.0,1.7458,2.4,8.456,74.4792
2014-12-10,35.0,0.9713,14.2,6.364,71.1389
2014-12-11,45.0,1.2116,0.0,6.2866,71.1389
2014-12-12,58.0,0.979,0.0,5.6537,73.7014
2014-12-13,60.0,0.9758,0.2,6.2406,84.4444
2014-12-14,63.0,0.9394,0.8,6.8972,85.6389
2014-12-15,58.0,0.7122,4.2,7.7699,95.3611
2014-12-16,28.0,1.1305,15.0,8.862,89.2197
2014-12-17,38.0,0.7868,0.0,7.6288,91.1042
2014-12-18,40.0,0.909,0.0,7.4917,84.6319
2014-12-19,64.0,0.8106,0.6,7.4859,85.0
2014-12-20,39.0,0.9502,0.0,5.3297,96.5208
2014-12-21,23.0,1.1847,0.0,3.861,93.0556
2014-12-22,32.0,1.1906,0.0,3.1355,91.0903
2014-12-23,35.0,0.8466,0.0,3.4184,92.3819
2014-12-24,34.0,0.989,0.0,4.5586,92.1042
2014-12-25,42.0,0.9712,0.0,6.8693,82.4861
2014-12-26,19.0,1.6728,0.0,8.3316,44.1667
2014-12-27,30.0,1.3995,5.4,1.9458,80.0
2014-12-28,41.0,1.6709,0.0,1.8055,84.6042
2014-12-29,37.0,1.7647,0.0,4.5952,58.1736
2014-12-30,25.0,1.626,0.0,2.7588,51.9306
2014-12-31,20.0,1.187,0.0,0.5929,70.2778
2015-01-01,54.0,1.2842,0.0,3.0337,71.3264
2015-01-02,60.0,1.4434,0.0,4.2143,65.7569
2015-01-03,70.0,1.0018,0.0,5.7841,68.8125
2015-01-04,35.0,2.8514,0.0,10.1825,49.7083
2015-01-05,18.0,1.4353,0.0,8.5647,36.9792
2015-01-06,44.0,1.322,0.0,6.0909,54.0417
2015-01-07,77.0,0.9811,0.0,6.1165,70.125
2015-01-08,66.0,1.2769,0.0,7.4558,68.5486
2015-01-09,72.0,1.2981,0.0,6.493,70.6528
2015-01-10,40.0,2.244,0.0,10.3699,66.5347
2015-01-11,55.0,2.999,0.0,8.7171,56.4514
2015-01-12,25.0,1.6497,0.0,9.9686,36.3958
2015-01-13,57.0,0.9129,0.0,6.7533,57.0486
