idsensore,date,value
5897,2011-01-01T00:00:00.000,4.6874
5897,2011-01-02T00:00:00.000,3.8796
5897,2011-01-03T00:00:00.000,4.1558
5897,2011-01-04T00:00:00.000,2.8558
5897,2011-01-05T00:00:00.000,2.69
5897,2011-01-07T00:00:00.000,1.9917
5897,2011-01-08T00:00:00.000,3.6338
5897,2011-01-09T00:00:00.000,5.1842
5897,2011-01-10T00:00:00.000,5.765
5897,2011-01-11T00:00:00.000,6.8288
5897,2011-01-12T00:00:00.000,6.2092
5897,2011-01-13T00:00:00.000,5.2596
5897,2011-01-14T00:00:00.000,4.2442
5897,2011-01-15T00:00:00.000,5.1058
5897,2011-01-16T00:00:00.000,4.3675
5897,2011-01-17T00:00:00.000,2.6233
5897,2011-01-18T00:00:00.000,3.4712
5897,2011-01-19T00:00:00.000,2.8721
5897,2011-01-20T00:00:00.000,3.5883
5897,2011-01-21T00:00:00.000,3.9258
5897,2011-01-22T00:00:00.000,3.5179
5897,2011-01-23T00:00:00.000,3.4721
5897,2011-01-24T00:00:00.000,3.6468
5897,2011-01-25T00:00:00.000,2.6912
5897,2011-01-26T00:00:00.000,3.585
5897,2011-01-27T00:00:00.000,4.69
5897,2011-01-28T00:00:00.000,5.7733
5897,2011-01-29T00:00:00.000,3.6883
5897,2011-01-30T00:00:00.000,2.7508
5897,2011-01-31T00:00:00.000,4.9037
5897,2011-02-01T00:00:00.000,3.91
5897,2011-02-02T00:00:00.000,3.0738
5897,2011-02-03T00:00:00.000,4.4286
5897,2011-02-04T00:00:00.000,6.4221
5897,2011-02-05T00:00:00.000,9.2421
5897,2011-02-06T00:00:00.000,9.8271
5897,2011-02-07T00:00:00.000,10.8208
5897,2011-02-08T00:00:00.000,10.2375
5897,2011-02-09T00:00:00.000,9.8308
5897,2011-02-10T00:00:00.000,9.6725
5897,2011-02-11T00:00:00.000,9.9138
5897,2011-02-12T00:00:00.000,10.6608
5897,2011-02-13T00:00:00.000,8.3683
5897,2011-02-14T00:00:00.000,8.5229
5897,2011-02-15T00:00:00.000,7.7225
5897,2011-02-16T00:00:00.000,6.7333
5897,2011-02-17T00:00:00.000,7.735
5897,2011-02-18T00:00:00.000,9.6933
5897,2011-02-19T00:00:00.000,10.3
5897,2011-02-20T00:00:00.000,8.0129
5897,2011-02-21T00:00:00.000,7.7067
5897,2011-02-22T00:00:00.000,5.8017
5897,2011-02-23T00:00:00.000,6.115
5897,2011-02-24T00:00:00.000,5.9158
5897,2011-02-25T00:00:00.000,5.7717
5897,2011-02-26T00:00:00.000,6.2975
5897,2011-02-27T00:00:00.000,4.9692
5897,2011-02-28T00:00:00.000,5.3158
5897,2011-03-01T00:00:00.000,7.6521
5897,2011-03-02T00:00:00.000,5.0533
5897,2011-03-03T00:00:00.000,3.5454
5897,2011-03-04T00:00:00.000,6.9512
5897,2011-03-05T00:00:00.000,8.9683
5897,2011-03-06T00:00:00.000,11.3004
5897,2011-03-07T00:00:00.000,6.9179
5897,2011-03-08T00:00:00.000,5.6225
5897,2011-03-09T00:00:00.000,7.2958
5897,2011-03-10T00:00:00.000,9.3367
5897,2011-03-11T00:00:00.000,10.47
5897,2011-03-12T00:00:00.000,10.8121
5897,2011-03-13T00:00:00.000,8.5321
5897,2011-03-14T00:00:00.000,10.7229
5897,2011-03-15T00:00:00.000,11.4425
5897,2011-03-16T00:00:00.000,11.0212
5897,2011-03-17T00:00:00.000,10.7571
5897,2011-03-18T00:00:00.000,13.5733
5897,2011-03-19T00:00:00.000,13.3992
5897,2011-03-20T00:00:00.000,11.6967
5897,2011-03-21T00:00:00.000,10.2317
5897,2011-03-22T00:00:00.000,12.0654
5897,2011-03-23T00:00:00.000,14.3217
5897,2011-03-24T00:00:00.000,16.1071
5897,2011-03-25T00:00:00.000,15.6058
5897,2011-03-26T00:00:00.000,13.6287
5897,2011-03-27T00:00:00.000,12.2821
5897,2011-03-28T00:00:00.000,12.84
5897,2011-03-29T00:00:00.000,14.6542
5897,2011-03-30T00:00:00.000,15.6429
5897,2011-03-31T00:00:00.000,16.8479
5897,2011-04-01T00:00:00.000,19.0971
5897,2011-04-02T00:00:00.000,19.7462
5897,2011-04-03T00:00:00.000,20.1196
5897,2011-04-04T00:00:00.000,18.8608
5897,2011-04-05T00:00:00.000,17.6325
5897,2011-04-06T00:00:00.000,19.2412
5897,2011-04-07T00:00:00.000,21.8488
5897,2011-04-08T00:00:00.000,23.2158
5897,2011-04-09T00:00:00.000,25.0529
5897,2011-04-10T00:00:00.000,22.7454
5897,2011-04-11T00:00:00.000,20.9104
5897,2011-04-12T00:00:00.000,20.8821
5897,2011-04-13T00:00:00.000,15.9138
5897,2011-04-14T00:00:00.000,12.9946
5897,2011-04-15T00:00:00.000,12.3933
5897,2011-04-16T00:00:00.000,14.785
5897,2011-04-17T00:00:00.000,15.6142
5897,2011-04-18T00:00:00.000,16.9246
5897,2011-04-19T00:00:00.000,17.8617
5897,2011-04-20T00:00:00.000,19.0504
5897,2011-04-21T00:00:00.000,19.3683
5897,2011-04-22T00:00:00.000,19.1425
5897,2011-04-23T00:00:00.000,16.4342
5897,2011-04-24T00:00:00.000,18.4954
5897,2011-04-25T00:00:00.000,19.2408
5897,2011-04-26T00:00:00.000,19.1492
5897,2011-04-27T00:00:00.000,17.9033
5897,2011-04-28T00:00:00.000,16.7825
5897,2011-04-29T00:00:00.000,15.4988
5897,2011-04-30T00:00:00.000,15.9179
5897,2011-05-01T00:00:00.000,18.7858
5897,2011-05-02T00:00:00.000,18.6075
5897,2011-05-03T00:00:00.000,19.8608
5897,2011-05-04T00:00:00.000,17.7646
5897,2011-05-05T00:00:00.000,17.1371
5897,2011-05-06T00:00:00.000,17.7654
5897,2011-05-07T00:00:00.000,19.7733
5897,2011-05-08T00:00:00.000,21.7225
5897,2011-05-09T00:00:00.000,17.8571
5897,2011-05-10T00:00:00.000,20.0511
5897,2011-05-13T00:00:00.000,25.481
5897,2011-05-14T00:00:00.000,20.6479
5897,2011-05-15T00:00:00.000,17.5596
5897,2011-05-16T00:00:00.000,18.7412
5897,2011-05-17T00:00:00.000,20.3517
5897,2011-05-18T00:00:00.000,21.5817
5897,2011-05-19T00:00:00.000,22.7346
5897,2011-05-20T00:00:00.000,24.1775
5897,2011-05-21T00:00:00.000,24.2167
5897,2011-05-22T00:00:00.000,24.93
5897,2011-05-23T00:00:00.000,25.8792
5897,2011-05-24T00:00:00.000,27.2546
5897,2011-05-25T00:00:00.000,26.4748
5897,2011-05-26T00:00:00.000,25.9667
5897,2011-05-27T00:00:00.000,20.4635
5897,2011-05-28T00:00:00.000,19.9946
5897,2011-05-29T00:00:00.000,21.3133
5897,2011-05-30T00:00:00.000,24.1608
5897,2011-05-31T00:00:00.000,21.4621
5897,2011-06-01T00:00:00.000,18.1817
5897,2011-06-02T00:00:00.000,21.0583
5897,2011-06-03T00:00:00.000,21.795
5897,2011-06-04T00:00:00.000,20.0804
5897,2011-06-05T00:00:00.000,18.8129
5897,2011-06-06T00:00:00.000,19.6775
5897,2011-06-07T00:00:00.000,17.9888
5897,2011-06-08T00:00:00.000,18.5767
5897,2011-06-09T00:00:00.000,19.7038
5897,2011-06-10T00:00:00.000,20.3079
5897,2011-06-11T00:00:00.000,20.4375
5897,2011-06-12T00:00:00.000,21.7383
5897,2011-06-13T00:00:00.000,20.6104
5897,2011-06-14T00:00:00.000,23.0029
5897,2011-06-15T00:00:00.000,25.3192
5897,2011-06-16T00:00:00.000,25.3252
5897,2011-06-17T00:00:00.000,22.9467
5897,2011-06-18T00:00:00.000,23.0204
5897,2011-06-19T00:00:00.000,23.9083
5897,2011-06-20T00:00:00.000,22.9183
5897,2011-06-21T00:00:00.000,25.5837
5897,2011-06-22T00:00:00.000,25.8242
5897,2011-06-23T00:00:00.000,24.0162
5897,2011-06-24T00:00:00.000,24.7858
5897,2011-06-25T00:00:00.000,24.4025
5897,2011-06-26T00:00:00.000,26.2258
5897,2011-06-27T00:00:00.000,26.5817
5897,2011-06-28T00:00:00.000,28.5621
5897,2011-06-29T00:00:00.000,26.8388
5897,2011-06-30T00:00:00.000,26.3086
5897,2011-07-04T00:00:00.000,26.1833
5897,2011-07-05T00:00:00.000,25.4892
5897,2011-07-06T00:00:00.000,26.5954
5897,2011-07-07T00:00:00.000,25.1588
5897,2011-07-08T00:00:00.000,25.4392
5897,2011-07-09T00:00:00.000,27.2017
5897,2011-07-10T00:00:00.000,28.2704
5897,2011-07-11T00:00:00.000,27.6108
5897,2011-07-12T00:00:00.000,28.7012
5897,2011-07-13T00:00:00.000,26.2079
5897,2011-07-14T00:00:00.000,25.6458
5897,2011-07-15T00:00:00.000,25.2867
5897,2011-07-16T00:00:00.000,24.1283
5897,2011-07-17T00:00:00.000,23.4679
5897,2011-07-18T00:00:00.000,23.3938
5897,2011-07-19T00:00:00.000,20.3337
5897,2011-07-20T00:00:00.000,21.5388
5897,2011-07-21T00:00:00.000,23.4529
5897,2011-07-22T00:00:00.000,24.0413
5897,2011-07-23T00:00:00.000,21.4212
5897,2011-07-24T00:00:00.000,21.6204
5897,2011-07-25T00:00:00.000,21.5658
5897,2011-07-26T00:00:00.000,21.9821
5897,2011-07-27T00:00:00.000,21.5567
5897,2011-07-28T00:00:00.000,22.7467
5897,2011-07-29T00:00:00.000,23.9817
5897,2011-07-30T00:00:00.000,24.9342
5897,2011-07-31T00:00:00.000,24.7567
5897,2011-08-01T00:00:00.000,26.1692
5897,2011-08-02T00:00:00.000,26.6504
5897,2011-08-03T00:00:00.000,26.8108
5897,2011-08-04T00:00:00.000,26.6242
5897,2011-08-05T00:00:00.000,26.1429
5897,2011-08-06T00:00:00.000,24.7329
5897,2011-08-07T00:00:00.000,24.2821
5897,2011-08-08T00:00:00.000,24.8067
5897,2011-08-09T00:00:00.000,24.3088
5897,2011-08-10T00:00:00.000,24.3992
5897,2011-08-11T00:00:00.000,24.2158
5897,2011-08-12T00:00:00.000,24.6021
5897,2011-08-13T00:00:00.000,25.8162
5897,2011-08-14T00:00:00.000,27.3338
5897,2011-08-15T00:00:00.000,27.0908
5897,2011-08-16T00:00:00.000,27.6054
5897,2011-08-17T00:00:00.000,28.3967
5897,2011-08-18T00:00:00.000,29.6038
5897,2011-08-19T00:00:00.000,30.1567
5897,2011-08-20T00:00:00.000,29.8354
5897,2011-08-21T00:00:00.000,31.1367
5897,2011-08-22T00:00:00.000,31.5129
5897,2011-08-23T00:00:00.000,31.8612
5897,2011-08-24T00:00:00.000,30.9908
5897,2011-08-25T00:00:00.000,30.8721
5897,2011-08-26T00:00:00.000,29.5079
5897,2011-08-27T00:00:00.000,26.8004
5897,2011-08-28T00:00:00.000,25.0425
5897,2011-08-29T00:00:00.000,25.3258
5897,2011-08-30T00:00:00.000,25.6125
5897,2011-08-31T00:00:00.000,25.4312
5897,2011-09-01T00:00:00.000,24.4952
5897,2011-09-02T00:00:00.000,26.29
5897,2011-09-03T00:00:00.000,26.0892
5897,2011-09-04T00:00:00.000,22.9475
5897,2011-09-05T00:00:00.000,23.6338
5897,2011-09-06T00:00:00.000,23.3067
5897,2011-09-07T00:00:00.000,23.37
5897,2011-09-08T00:00:00.000,24.2083
5897,2011-09-09T00:00:00.000,25.1504
5897,2011-09-10T00:00:00.000,26.0542
5897,2011-09-11T00:00:00.000,26.1592
5897,2011-09-12T00:00:00.000,25.78
5897,2011-09-13T00:00:00.000,26.5271
5897,2011-09-14T00:00:00.000,26.9971
5897,2011-09-15T00:00:00.000,26.6496
5897,2011-09-16T00:00:00.000,26.1092
5897,2011-09-17T00:00:00.000,24.3146
5897,2011-09-18T00:00:00.000,19.6383
5897,2011-09-19T00:00:00.000,18.0429
5897,2011-09-20T00:00:00.000,20.435
5897,2011-09-21T00:00:00.000,21.6162
5897,2011-09-22T00:00:00.000,22.9221
5897,2011-09-23T00:00:00.000,22.4125
5897,2011-09-24T00:00:00.000,23.0017
5897,2011-09-25T00:00:00.000,23.0288
5897,2011-09-26T00:00:00.000,23.3617
5897,2011-09-27T00:00:00.000,23.54
5897,2011-09-28T00:00:00.000,23.39
5897,2011-09-29T00:00:00.000,23.2208
5897,2011-09-30T00:00:00.000,23.0
5897,2011-10-04T00:00:00.000,25.5529
5897,2011-10-05T00:00:00.000,23.4
5897,2011-10-06T00:00:00.000,21.9908
5897,2011-10-07T00:00:00.000,19.5142
5897,2011-10-08T00:00:00.000,16.5008
5897,2011-10-09T00:00:00.000,16.4533
5897,2011-10-10T00:00:00.000,16.9862
5897,2011-10-11T00:00:00.000,19.3662
5897,2011-10-12T00:00:00.000,20.9921
5897,2011-10-13T00:00:00.000,20.0021
5897,2011-10-14T00:00:00.000,16.0408
5897,2011-10-15T00:00:00.000,13.2967
5897,2011-10-16T00:00:00.000,12.8188
5897,2011-10-17T00:00:00.000,13.1221
5897,2011-10-18T00:00:00.000,13.6808
