idsensore,date,value
19007,2017-02-05T00:00:00.000,1.6976
19007,2017-02-06T00:00:00.000,1.2612
19007,2017-02-07T00:00:00.000,1.3012
19007,2017-02-08T00:00:00.000,2.3079
19007,2017-02-09T00:00:00.000,1.6825
19007,2017-02-10T00:00:00.000,1.8838
19007,2017-02-11T00:00:00.000,0.8892
19007,2017-02-12T00:00:00.000,1.0094
19007,2017-02-13T00:00:00.000,1.6526
19007,2017-02-14T00:00:00.000,1.3874
19007,2017-02-15T00:00:00.000,1.0851
19007,2017-02-16T00:00:00.000,0.8517
19007,2017-02-17T00:00:00.000,1.1665
19007,2017-02-18T00:00:00.000,1.673
19007,2017-02-19T00:00:00.000,1.1213
19007,2017-02-20T00:00:00.000,1.0674
19007,2017-02-21T00:00:00.000,1.6794
19007,2017-02-22T00:00:00.000,1.4288
19007,2017-02-23T00:00:00.000,0.8838
19007,2017-02-24T00:00:00.000,1.114
19007,2017-02-25T00:00:00.000,1.7341
19007,2017-02-26T00:00:00.000,1.2253
19007,2017-02-27T00:00:00.000,1.8488
19007,2017-02-28T00:00:00.000,2.2497
19007,2017-03-01T00:00:00.000,1.8626
19007,2017-03-02T00:00:00.000,1.4524
19007,2017-03-03T00:00:00.000,1.7535
19007,2017-03-04T00:00:00.000,3.5564
19007,2017-03-05T00:00:00.000,1.6153
19007,2017-03-06T00:00:00.000,1.2601
19007,2017-03-07T00:00:00.000,3.5405
19007,2017-03-08T00:00:00.000,1.0388
19007,2017-03-09T00:00:00.000,1.1032
19007,2017-03-10T00:00:00.000,2.4356
19007,2017-03-11T00:00:00.000,2.2327
19007,2017-03-12T00:00:00.000,1.9126
19007,2017-03-13T00:00:00.000,1.6219
19007,2017-03-14T00:00:00.000,0.8843
19007,2017-03-15T00:00:00.000,1.8131
19007,2017-03-16T00:00:00.000,0.9499
19007,2017-03-17T00:00:00.000,1.4658
19007,2017-03-18T00:00:00.000,2.7676
19007,2017-03-19T00:00:00.000,2.314
19007,2017-03-20T00:00:00.000,1.3703
19007,2017-03-21T00:00:00.000,1.9895
19007,2017-03-22T00:00:00.000,3.2419
19007,2017-03-23T00:00:00.000,2.7749
19007,2017-03-24T00:00:00.000,1.4755
19007,2017-03-25T00:00:00.000,1.3877
19007,2017-03-26T00:00:00.000,2.1039
19007,2017-03-27T00:00:00.000,1.6405
19007,2017-03-28T00:00:00.000,0.8593
19007,2017-03-29T00:00:00.000,0.8132
19007,2017-03-30T00:00:00.000,0.8956
19007,2017-03-31T00:00:00.000,1.157
19007,2017-04-01T00:00:00.000,1.7457
19007,2017-04-02T00:00:00.000,1.615
19007,2017-04-03T00:00:00.000,1.5754
19007,2017-04-04T00:00:00.000,1.4792
19007,2017-04-05T00:00:00.000,1.9536
19007,2017-04-06T00:00:00.000,1.4059
19007,2017-04-07T00:00:00.000,1.8833
19007,2017-04-08T00:00:00.000,1.4528
19007,2017-04-09T00:00:00.000,1.5424
19007,2017-04-10T00:00:00.000,1.4787
19007,2017-04-11T00:00:00.000,1.4653
19007,2017-04-12T00:00:00.000,1.7941
19007,2017-04-13T00:00:00.000,2.3986
19007,2017-04-14T00:00:00.000,1.4842
19007,2017-04-15T00:00:00.000,1.5076
19007,2017-04-16T00:00:00.000,1.8985
19007,2017-04-17T00:00:00.000,2.1817
19007,2017-04-18T00:00:00.000,3.3509
19007,2017-04-19T00:00:00.000,3.1331
19007,2017-04-20T00:00:00.000,1.8116
19007,2017-04-21T00:00:00.000,1.7108
19007,2017-04-22T00:00:00.000,1.5942
19007,2017-04-23T00:00:00.000,1.7311
19007,2017-04-24T00:00:00.000,1.9483
19007,2017-04-25T00:00:00.000,1.649
19007,2017-04-26T00:00:00.000,2.5494
19007,2017-04-27T00:00:00.000,1.3824
19007,2017-04-28T00:00:00.000,2.9885
19007,2017-04-29T00:00:00.000,1.3196
19007,2017-04-30T00:00:00.000,1.7649
19007,2017-05-01T00:00:00.000,2.4863
19007,2017-05-02T00:00:00.000,1.4942
19007,2017-05-03T00:00:00.000,1.5099
19007,2017-05-04T00:00:00.000,1.0932
19007,2017-05-05T00:00:00.000,1.0173
19007,2017-05-06T00:00:00.000,2.1686
19007,2017-05-07T00:00:00.000,1.1785
19007,2017-05-08T00:00:00.000,1.1537
19007,2017-05-09T00:00:00.000,2.2108
19007,2017-05-10T00:00:00.000,2.6894
19007,2017-05-11T00:00:00.000,2.4907
19007,2017-05-12T00:00:00.000,1.2267
19007,2017-05-13T00:00:00.000,1.5644
19007,2017-05-14T00:00:00.000,1.5676
19007,2017-05-15T00:00:00.000,1.8869
19007,2017-05-16T00:00:00.000,1.2966
19007,2017-05-17T00:00:00.000,1.6777
19007,2017-05-18T00:00:00.000,2.6057
19007,2017-05-19T00:00:00.000,2.7762
19007,2017-05-20T00:00:00.000,1.8227
19007,2017-05-21T00:00:00.000,1.0544
19007,2017-05-22T00:00:00.000,1.2308
19007,2017-05-23T00:00:00.000,1.5034
19007,2017-05-24T00:00:00.000,1.549
19007,2017-05-25T00:00:00.000,2.7553
19007,2017-05-26T00:00:00.000,2.31
19007,2017-05-27T00:00:00.000,1.7014
19007,2017-05-28T00:00:00.000,1.5289
19007,2017-05-29T00:00:00.000,1.8133
19007,2017-05-30T00:00:00.000,1.6557
19007,2017-05-31T00:00:00.000,2.2558
19007,2017-06-01T00:00:00.000,1.7334
19007,2017-06-02T00:00:00.000,1.6994
19007,2017-06-03T00:00:00.000,1.8574
19007,2017-06-04T00:00:00.000,1.5197
19007,2017-06-05T00:00:00.000,2.1492
19007,2017-06-06T00:00:00.000,1.7361
19007,2017-06-07T00:00:00.000,1.5652
19007,2017-06-08T00:00:00.000,1.994
19007,2017-06-09T00:00:00.000,1.3183
19007,2017-06-10T00:00:00.000,1.321
19007,2017-06-11T00:00:00.000,1.9954
19007,2017-06-12T00:00:00.000,1.702
19007,2017-06-13T00:00:00.000,1.5578
19007,2017-06-14T00:00:00.000,1.436
19007,2017-06-15T00:00:00.000,1.4621
19007,2017-06-16T00:00:00.000,1.8997
19007,2017-06-17T00:00:00.000,2.0506
19007,2017-06-18T00:00:00.000,3.0654
19007,2017-06-19T00:00:00.000,1.6835
19007,2017-06-20T00:00:00.000,1.7678
19007,2017-06-21T00:00:00.000,1.6953
19007,2017-06-22T00:00:00.000,1.8169
19007,2017-06-23T00:00:00.000,2.7277
19007,2017-06-24T00:00:00.000,1.7514
19007,2017-06-25T00:00:00.000,1.9141
19007,2017-06-26T00:00:00.000,2.1821
19007,2017-06-27T00:00:00.000,2.0798
19007,2017-06-28T00:00:00.000,2.5176
19007,2017-06-29T00:00:00.000,1.4949
19007,2017-06-30T00:00:00.000,1.6838
19007,2017-07-01T00:00:00.000,1.5102
19007,2017-07-02T00:00:00.000,1.4893
19007,2017-07-03T00:00:00.000,1.3051
19007,2017-07-04T00:00:00.000,1.9108
19007,2017-07-05T00:00:00.000,1.7242
19007,2017-07-06T00:00:00.000,1.3525
19007,2017-07-07T00:00:00.000,1.5947
19007,2017-07-08T00:00:00.000,1.3455
19007,2017-07-09T00:00:00.000,1.9249
19007,2017-07-10T00:00:00.000,1.7119
19007,2017-07-11T00:00:00.000,1.5313
19007,2017-07-12T00:00:00.000,1.5004
19007,2017-07-13T00:00:00.000,2.1236
19007,2017-07-14T00:00:00.000,2.6436
19007,2017-07-15T00:00:00.000,1.5738
19007,2017-07-16T00:00:00.000,2.7117
19007,2017-07-17T00:00:00.000,1.7919
19007,2017-07-18T00:00:00.000,1.3011
19007,2017-07-19T00:00:00.000,1.5887
19007,2017-07-20T00:00:00.000,1.3933
19007,2017-07-21T00:00:00.000,1.4588
19007,2017-07-22T00:00:00.000,1.2369
19007,2017-07-23T00:00:00.000,1.6615
19007,2017-07-24T00:00:00.000,1.8905
19007,2017-07-25T00:00:00.000,2.4183
19007,2017-07-26T00:00:00.000,3.0193
19007,2017-07-27T00:00:00.000,1.4728
19007,2017-07-28T00:00:00.000,1.2809
19007,2017-07-29T00:00:00.000,1.5368
19007,2017-07-30T00:00:00.000,1.6328
19007,2017-07-31T00:00:00.000,0.9308
19007,2017-08-01T00:00:00.000,1.0206
19007,2017-08-02T00:00:00.000,1.0881
19007,2017-08-03T00:00:00.000,1.2958
19007,2017-08-04T00:00:00.000,1.1792
19007,2017-08-05T00:00:00.000,1.1658
19007,2017-08-06T00:00:00.000,1.9809
19007,2017-08-07T00:00:00.000,2.4221
19007,2017-08-08T00:00:00.000,3.0604
19007,2017-08-09T00:00:00.000,1.4448
19007,2017-08-10T00:00:00.000,1.7444
19007,2017-08-11T00:00:00.000,2.1201
19007,2017-08-12T00:00:00.000,1.929
19007,2017-08-13T00:00:00.000,1.0896
19007,2017-08-14T00:00:00.000,1.2667
19007,2017-08-15T00:00:00.000,1.2415
19007,2017-08-16T00:00:00.000,1.1088
19007,2017-08-17T00:00:00.000,1.3309
19007,2017-08-18T00:00:00.000,1.6644
19007,2017-08-19T00:00:00.000,1.486
19007,2017-08-20T00:00:00.000,1.6074
19007,2017-08-21T00:00:00.000,2.0383
19007,2017-08-22T00:00:00.000,1.7651
19007,2017-08-23T00:00:00.000,1.3978
19007,2017-08-24T00:00:00.000,1.5299
19007,2017-08-25T00:00:00.000,0.915
19007,2017-08-26T00:00:00.000,1.187
19007,2017-08-27T00:00:00.000,1.2699
19007,2017-08-28T00:00:00.000,1.4265
19007,2017-08-29T00:00:00.000,2.1333
19007,2017-08-30T00:00:00.000,1.5228
19007,2017-08-31T00:00:00.000,2.1207
19007,2017-09-01T00:00:00.000,2.09
19007,2017-09-02T00:00:00.000,2.1162
19007,2017-09-03T00:00:00.000,1.1162
19007,2017-09-04T00:00:00.000,1.3785
19007,2017-09-05T00:00:00.000,1.099
19007,2017-09-06T00:00:00.000,0.9726
19007,2017-09-07T00:00:00.000,1.6122
19007,2017-09-08T00:00:00.000,1.9602
19007,2017-09-09T00:00:00.000,2.9955
19007,2017-09-10T00:00:00.000,2.7068
19007,2017-09-11T00:00:00.000,1.0667
19007,2017-09-12T00:00:00.000,2.0587
19007,2017-09-13T00:00:00.000,1.451
19007,2017-09-14T00:00:00.000,1.6535
19007,2017-09-15T00:00:00.000,1.4329
19007,2017-09-16T00:00:00.000,1.5036
19007,2017-09-17T00:00:00.000,1.496
19007,2017-09-18T00:00:00.000,1.2298
