idsensore,date,value
19242,2014-10-31T00:00:00.000,0.9845
19242,2014-11-01T00:00:00.000,0.8533
19242,2014-11-02T00:00:00.000,0.7965
19242,2014-11-03T00:00:00.000,1.2152
19242,2014-11-04T00:00:00.000,2.6562
19242,2014-11-05T00:00:00.000,2.1873
19242,2014-11-06T00:00:00.000,1.1658
19242,2014-11-07T00:00:00.000,1.0481
19242,2014-11-08T00:00:00.000,0.8206
19242,2014-11-09T00:00:00.000,1.1303
19242,2014-11-10T00:00:00.000,1.3156
19242,2014-11-11T00:00:00.000,1.7381
19242,2014-11-12T00:00:00.000,1.5025
19242,2014-11-13T00:00:00.000,1.3302
19242,2014-11-14T00:00:00.000,0.7851
19242,2014-11-15T00:00:00.000,2.515
19242,2014-11-16T00:00:00.000,0.9667
19242,2014-11-17T00:00:00.000,1.5946
19242,2014-11-18T00:00:00.000,1.2157
19242,2014-11-19T00:00:00.000,1.1351
19242,2014-11-20T00:00:00.000,0.7819
19242,2014-11-21T00:00:00.000,0.8783
19242,2014-11-22T00:00:00.000,1.009
19242,2014-11-23T00:00:00.000,0.8788
19242,2014-11-24T00:00:00.000,0.7267
19242,2014-11-25T00:00:00.000,1.0217
19242,2014-11-26T00:00:00.000,1.2003
19242,2014-11-27T00:00:00.000,1.1255
19242,2014-11-28T00:00:00.000,0.941
19242,2014-11-29T00:00:00.000,0.7094
19242,2014-11-30T00:00:00.000,0.9992
19242,2014-12-01T00:00:00.000,1.5015
19242,2014-12-02T00:00:00.000,0.9456
19242,2014-12-03T00:00:00.000,1.2688
19242,2014-12-04T00:00:00.000,0.9253
19242,2014-12-05T00:00:00.000,0.9062
19242,2014-12-06T00:00:00.000,0.7847
19242,2014-12-07T00:00:00.000,1.2765
19242,2014-12-08T00:00:00.000,0.9545
19242,2014-12-09T00:00:00.000,1.7458
19242,2014-12-10T00:00:00.000,0.9713
19242,2014-12-11T00:00:00.000,1.2116
19242,2014-12-12T00:00:00.000,0.979
19242,2014-12-13T00:00:00.000,0.9758
19242,2014-12-14T00:00:00.000,0.9394
19242,2014-12-15T00:00:00.000,0.7122
19242,2014-12-16T00:00:00.000,1.1305
19242,2014-12-17T00:00:00.000,0.7868
19242,2014-12-18T00:00:00.000,0.909
19242,2014-12-19T00:00:00.000,0.8106
19242,2014-12-20T00:00:00.000,0.9502
19242,2014-12-21T00:00:00.000,1.1847
19242,2014-12-22T00:00:00.000,1.1906
19242,2014-12-23T00:00:00.000,0.8466
19242,2014-12-24T00:00:00.000,0.989
19242,2014-12-25T00:00:00.000,0.9712
19242,2014-12-26T00:00:00.000,1.6728
19242,2014-12-27T00:00:00.000,1.3995
19242,2014-12-28T00:00:00.000,1.6709
19242,2014-12-29T00:00:00.000,1.7647
19242,2014-12-30T00:00:00.000,1.626
19242,2014-12-31T00:00:00.000,1.187
19242,2015-01-01T00:00:00.000,1.2842
19242,2015-01-02T00:00:00.000,1.4434
19242,2015-01-03T00:00:00.000,1.0018
19242,2015-01-04T00:00:00.000,2.8514
19242,2015-01-05T00:00:00.000,1.4353
19242,2015-01-06T00:00:00.000,1.322
19242,2015-01-07T00:00:00.000,0.9811
19242,2015-01-08T00:00:00.000,1.2769
19242,2015-01-09T00:00:00.000,1.2981
19242,2015-01-10T00:00:00.000,2.244
19242,2015-01-11T00:00:00.000,2.999
19242,2015-01-12T00:00:00.000,1.6497
19242,2015-01-13T00:00:00.000,0.9129
19242,2015-01-14T00:00:00.000,1.0838
19242,2015-01-15T00:00:00.000,1.1642
19242,2015-01-16T00:00:00.000,1.1407
19242,2015-01-17T00:00:00.000,1.521
19242,2015-01-18T00:00:00.000,1.0018
19242,2015-01-19T00:00:00.000,0.9199
19242,2015-01-20T00:00:00.000,1.3224
19242,2015-01-21T00:00:00.000,1.2768
19242,2015-01-22T00:00:00.000,1.2051
19242,2015-01-23T00:00:00.000,1.339
19242,2015-01-24T00:00:00.000,0.8831
19242,2015-01-25T00:00:00.000,1.569
19242,2015-01-26T00:00:00.000,1.1038
19242,2015-01-27T00:00:00.000,0.7534
19242,2016-01-01T00:00:00.000,1.0305
19242,2016-01-02T00:00:00.000,0.8817
19242,2016-01-03T00:00:00.000,1.0381
19242,2016-01-04T00:00:00.000,1.2625
19242,2016-01-05T00:00:00.000,1.0939
19242,2016-01-06T00:00:00.000,1.5139
19242,2016-01-07T00:00:00.000,1.0462
19242,2016-01-08T00:00:00.000,1.1698
19242,2016-01-09T00:00:00.000,0.8203
19242,2016-01-10T00:00:00.000,0.9226
19242,2016-01-11T00:00:00.000,1.2333
19242,2016-01-12T00:00:00.000,1.2943
19242,2016-01-13T00:00:00.000,2.172
19242,2016-01-14T00:00:00.000,1.2119
19242,2016-01-15T00:00:00.000,2.3953
19242,2016-01-16T00:00:00.000,2.1556
19242,2016-01-17T00:00:00.000,3.7733
19242,2016-01-18T00:00:00.000,1.1741
19242,2016-01-19T00:00:00.000,1.0428
19242,2016-01-20T00:00:00.000,1.0232
19242,2016-01-21T00:00:00.000,0.8894
19242,2016-01-22T00:00:00.000,0.9585
19242,2016-01-23T00:00:00.000,1.1445
19242,2016-01-24T00:00:00.000,0.9812
19242,2016-01-25T00:00:00.000,0.9594
19242,2016-01-26T00:00:00.000,1.1291
19242,2016-01-27T00:00:00.000,0.9172
19242,2016-01-28T00:00:00.000,0.9101
19242,2016-01-29T00:00:00.000,0.9653
19242,2016-01-30T00:00:00.000,0.8024
19242,2016-01-31T00:00:00.000,1.2061
19242,2016-02-01T00:00:00.000,1.1231
19242,2016-02-02T00:00:00.000,0.9588
19242,2016-02-03T00:00:00.000,1.8538
19242,2016-02-04T00:00:00.000,2.425
19242,2016-02-05T00:00:00.000,1.5746
19242,2016-02-06T00:00:00.000,0.9162
19242,2016-02-07T00:00:00.000,0.9519
19242,2016-02-08T00:00:00.000,1.1068
19242,2016-02-09T00:00:00.000,1.2453
19242,2016-02-10T00:00:00.000,2.288
19242,2016-02-11T00:00:00.000,0.9042
19242,2016-02-12T00:00:00.000,1.3601
19242,2016-02-13T00:00:00.000,1.4097
19242,2016-02-14T00:00:00.000,0.994
19242,2016-02-15T00:00:00.000,1.1421
19242,2016-02-16T00:00:00.000,1.2053
19242,2016-02-17T00:00:00.000,1.5358
19242,2016-02-18T00:00:00.000,1.5607
19242,2016-02-19T00:00:00.000,1.3196
19242,2016-02-20T00:00:00.000,1.3306
19242,2016-02-21T00:00:00.000,1.4398
19242,2016-02-22T00:00:00.000,1.0751
19242,2016-02-23T00:00:00.000,1.1383
19242,2016-02-24T00:00:00.000,1.5917
19242,2016-02-25T00:00:00.000,1.3516
19242,2016-02-26T00:00:00.000,1.2095
19242,2016-02-27T00:00:00.000,1.4654
19242,2016-02-28T00:00:00.000,1.628
19242,2016-02-29T00:00:00.000,1.275
19242,2016-03-01T00:00:00.000,1.0138
19242,2016-03-02T00:00:00.000,1.5184
19242,2016-03-03T00:00:00.000,2.8947
19242,2016-03-04T00:00:00.000,1.0975
19242,2016-03-05T00:00:00.000,2.0397
19242,2016-03-06T00:00:00.000,1.0326
19242,2016-03-07T00:00:00.000,1.3892
19242,2016-03-08T00:00:00.000,1.5551
19242,2016-03-09T00:00:00.000,1.484
19242,2016-03-10T00:00:00.000,1.2819
19242,2016-03-11T00:00:00.000,1.342
19242,2016-03-12T00:00:00.000,1.2566
19242,2016-03-13T00:00:00.000,1.3264
19242,2016-03-14T00:00:00.000,1.3615
19242,2016-03-15T00:00:00.000,1.5473
19242,2016-03-16T00:00:00.000,2.4087
19242,2016-03-17T00:00:00.000,1.2721
19242,2016-03-18T00:00:00.000,1.1611
19242,2016-03-19T00:00:00.000,1.5903
19242,2016-03-20T00:00:00.000,1.8851
19242,2016-03-21T00:00:00.000,1.2241
19242,2016-03-22T00:00:00.000,1.2619
19242,2016-03-23T00:00:00.000,1.6173
19242,2016-03-24T00:00:00.000,1.3086
19242,2016-03-25T00:00:00.000,1.4903
19242,2016-03-26T00:00:00.000,1.0946
19242,2016-03-27T00:00:00.000,1.9552
19242,2016-03-28T00:00:00.000,0.9606
19242,2016-03-29T00:00:00.000,1.7596
19242,2016-03-30T00:00:00.000,0.8751
19242,2016-03-31T00:00:00.000,1.1029
19242,2016-04-01T00:00:00.000,1.3138
19242,2016-04-02T00:00:00.000,1.2492
19242,2016-04-03T00:00:00.000,0.7747
19242,2016-04-04T00:00:00.000,1.482
19242,2016-04-05T00:00:00.000,1.3817
19242,2016-04-06T00:00:00.000,1.1363
19242,2016-04-07T00:00:00.000,1.3843
19242,2016-04-08T00:00:00.000,1.2465
19242,2016-04-09T00:00:00.000,1.5922
19242,2016-04-10T00:00:00.000,1.7333
19242,2016-04-11T00:00:00.000,2.2315
19242,2016-04-12T00:00:00.000,1.6003
19242,2016-04-13T00:00:00.000,1.5278
19242,2016-04-14T00:00:00.000,1.8002
19242,2016-04-15T00:00:00.000,1.913
19242,2016-04-16T00:00:00.000,1.3195
19242,2016-04-17T00:00:00.000,1.7107
19242,2016-04-18T00:00:00.000,2.1194
19242,2016-04-19T00:00:00.000,1.9015
19242,2016-04-20T00:00:00.000,1.6135
19242,2016-04-21T00:00:00.000,1.533
19242,2016-04-22T00:00:00.000,1.9483
19242,2016-04-23T00:00:00.000,1.6262
19242,2016-04-24T00:00:00.000,1.9417
19242,2016-04-25T00:00:00.000,1.8825
19242,2016-04-26T00:00:00.000,1.786
19242,2016-04-27T00:00:00.000,2.2598
19242,2016-04-28T00:00:00.000,1.9631
19242,2016-04-29T00:00:00.000,1.503
19242,2016-04-30T00:00:00.000,1.7838
19242,2016-05-01T00:00:00.000,1.2724
19242,2016-05-02T00:00:00.000,1.3698
19242,2016-05-03T00:00:00.000,2.1291
19242,2016-05-04T00:00:00.000,1.7676
19242,2016-05-05T00:00:00.000,1.2478
19242,2016-05-06T00:00:00.000,1.1298
19242,2016-05-07T00:00:00.000,1.313
19242,2016-05-08T00:00:00.000,1.6133
19242,2016-05-09T00:00:00.000,1.2999
19242,2016-05-10T00:00:00.000,0.9581
19242,2016-05-11T00:00:00.000,1.6805
19242,2016-05-12T00:00:00.000,1.2394
19242,2016-05-13T00:00:00.000,0.876
19242,2016-05-14T00:00:00.000,1.5967
19242,2016-05-15T00:00:00.000,2.1399
19242,2016-05-16T00:00:00.000,1.6473
19242,2016-05-17T00:00:00.000,1.4317
19242,2016-05-18T00:00:00.000,1.8029
19242,2016-05-19T00:00:00.000,1.8292
19242,2016-05-20T00:00:00.000,1.2862
19242,2016-05-21T00:00:00.000,1.4984
19242,2016-05-22T00:00:00.000,1.4212
19242,2016-05-23T00:00:00.000,2.1777
19242,2016-05-24T00:00:00.000,2.039
19242,2016-05-25T00:00:00.000,2.1502
19242,2016-05-26T00:00:00.000,1.3309
19242,2016-05-27T00:00:00.000,1.073
19242,2016-05-28T00:00:00.000,1.2728
19242,2016-05-29T00:00:00.000,1.444
19242,2016-05-30T00:00:00.000,0.981
19242,2016-05-31T00:00:00.000,1.2708
19242,2016-06-01T00:00:00.000,1.1331
19242,2016-06-02T00:00:00.000,1.157
19242,2016-06-03T00:00:00.000,0.9274
19242,2016-06-04T00:00:00.000,1.3783
19242,2016-06-05T00:00:00.000,1.5101
19242,2016-06-06T00:00:00.000,0.9192
19242,2016-06-07T00:00:00.000,1.4098
19242,2016-06-08T00:00:00.000,1.4975
19242,2016-06-09T00:00:00.000,1.2267
19242,2016-06-10T00:00:00.000,1.2303
19242,2016-06-11T00:00:00.000,1.594
19242,2016-06-12T00:00:00.000,1.359
19242,2016-06-13T00:00:00.000,1.7072
19242,2016-06-14T00:00:00.000,1.8331
