Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,0.35235588314184724,0.4908527273661593,0.787045331106426,0.26139736459816254,0.34661344526149174,0.8819535255576652
Gradient Boosting,0.3410548434793764,0.4717313200331953,0.8033136719304711,0.24606698858046477,0.3274767279569032,0.8946285162239339
Ridge Regression,0.38065292521338434,0.5211463177245402,0.7599486811890498,0.3673312562056837,0.4852314952373428,0.7686549694270753
Support Vector Machine,0.34633144057314685,0.48066596821630864,0.7957925893790229,0.2916636504147883,0.41083591911582223,0.8341562825458644
