Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,3.06353037950326,4.734832220528678,3.9695279827101615,6.3920961354923,0.9067143865116938,0.7744678729710338
Gradient Boosting,3.290921089386248,4.6904502337214335,4.379528740114563,6.327118131290585,0.8864488079450024,0.7790298014383257
Ridge Regression,5.358501745469846,5.006995253586365,7.087774338993214,6.628905285771173,0.7025892238165371,0.7574476719336691
Support Vector,4.513898360028761,4.533636396391206,6.399437701089265,6.319323924179698,0.7575509049253916,0.7795738806343594
