Model;Test MAE;Test RMSE;Test R2;Train MAE;Train RMSE;Train R2
RFR;5.278;7.268;0.769;4.126;5.461;0.876
GBoost;5.217;7.103;0.778;4.378;5.878;0.859
Ridge;5.645;7.525;0.751;5.645;7.569;0.755
SVR;5.104;6.965;0.786;4.807;6.811;0.804
