Model;Test MAE;Test RMSE;Test R2;Train MAE;Train RMSE;Train R2
RFR;-1.16%;-1.39%;0.89%;-2.10%;-2.17%;0.56%
GBoost;-0.90%;-1.42%;0.59%;-2.25%;-2.80%;1.34%
Ridge;-0.39%;-0.47%;0.32%;-0.68%;-0.57%;0.26%
SVR;-1.61%;-1.55%;0.78%;-1.87%;-1.54%;0.59%
