;Test MAE;Test RMSE;Test R2;Train MAE;Train RMSE;Train R2
C6H6;-1.60%;-1.30%;0.81%;-3.17%;-3.17%;1.12%
NO2;-0.47%;-0.66%;0.40%;-0.94%;-0.87%;0.42%
PM10;-0.72%;-0.67%;0.53%;-1.25%;-1.42%;0.80%
PM2.5;-0.83%;-1.11%;0.95%;-1.09%;-1.36%;0.59%
O3;-2.40%;-2.88%;0.52%;-3.89%;-3.57%;0.52%
