Metrics,C6H6,NO2,PM10,PM25,O3
Test MAE,0.3485311937496804,7.090952627280274,7.478030497627181,5.409182689706157,7.063634936424796
Test RMSE,0.5144140075149274,9.125408909069082,10.319140962653027,7.655149471513202,9.696209380515967
Test R2,0.7681399345974297,0.7753577160157755,0.7185254016665962,0.7030666109554994,0.9154539035790863
Train MAE,0.2946278129195107,6.6126991934201405,6.53660895937682,4.710155798114827,6.503314089757489
Train RMSE,0.412064204663371,8.596614506627192,9.012566450400444,6.68559556940885,8.718944401674161
Train R2,0.836913860540468,0.8041225912716735,0.7611249203280028,0.794496421820072,0.9297476503357358
