Model;Test MAE;Test RMSE;Test R2;Train MAE;Train RMSE;Train R2
RFR;5.34;7.37;0.763;4.215;5.582;0.871
GBoost;5.265;7.205;0.774;4.479;6.047;0.848
Ridge;5.667;7.561;0.748;5.684;7.612;0.753
SVR;5.187;7.074;0.78;4.899;6.918;0.799
