idsensore,data,valore
19019,2021-01-01,0.68524475524475524476
19019,2021-01-02,0.66284722222222222222
19019,2021-01-03,1.4313194444444444
19019,2021-01-04,1.3281944444444444
19019,2021-01-05,1.0984722222222222
19019,2021-01-06,0.73236111111111111111
19019,2021-01-07,0.79465277777777777778
19019,2021-01-08,0.62611111111111111111
19019,2021-01-09,0.65493055555555555556
19019,2021-01-10,0.52715277777777777778
19019,2021-01-11,0.73416666666666666667
19019,2021-01-12,0.97034722222222222222
19019,2021-01-13,1.3570138888888889
19019,2021-01-14,1.8820833333333333
19019,2021-01-15,1.4434722222222222
19019,2021-01-16,0.58909722222222222222
19019,2021-01-17,1.0116666666666667
19019,2021-01-18,0.60416666666666666667
19019,2021-01-19,0.50937500000000000000
19019,2021-01-20,0.99548611111111111111
19019,2021-01-21,0.71944444444444444444
19019,2021-01-22,0.77840277777777777778
19019,2021-01-23,1.3370138888888889
19019,2021-01-24,0.83388888888888888889
19019,2021-01-25,1.00209790209790209790
19019,2021-01-26,1.6387323943661972
19019,2021-01-27,0.70145833333333333333
19019,2021-01-28,1.0517482517482517
19019,2021-01-29,1.2364583333333333
19019,2021-01-30,1.4140972222222222
19019,2021-01-31,1.0468055555555556
19019,2021-02-01,1.5202777777777778
19019,2021-02-02,0.62020833333333333333
19019,2021-02-03,0.75687500000000000000
19019,2021-02-04,0.93590277777777777778
19019,2021-02-05,0.74291666666666666667
19019,2021-02-06,1.2255555555555556
19019,2021-02-07,1.4331250000000000
19019,2021-02-08,1.1775000000000000
19019,2021-02-09,0.78375000000000000000
19019,2021-02-10,1.6938888888888889
19019,2021-02-11,1.9752083333333333
19019,2021-02-12,3.6046527777777778
19019,2021-02-13,2.0440277777777778
19019,2021-02-14,0.94916666666666666667
19019,2021-02-15,0.85784722222222222222
19019,2021-02-16,0.98236111111111111111
19019,2021-02-17,1.0971527777777778
19019,2021-02-18,1.1956250000000000
19019,2021-02-19,0.64527777777777777778
19019,2021-02-20,0.64319444444444444444
19019,2021-02-21,1.2810416666666667
19019,2021-02-22,0.86291666666666666667
19019,2021-02-23,0.61645833333333333333
19019,2021-02-24,0.50881944444444444444
19019,2021-02-25,0.52291666666666666667
19019,2021-02-26,0.51902777777777777778
19019,2021-02-27,1.8650694444444444
19019,2021-02-28,2.2082638888888889
19019,2021-03-01,0.54576388888888888889
19019,2021-03-02,0.81013888888888888889
19019,2021-03-03,0.57631944444444444444
19019,2021-03-04,1.0113194444444444
19019,2021-03-05,0.81847222222222222222
19019,2021-03-06,3.0861111111111111
19019,2021-03-07,0.85243055555555555556
19019,2021-03-08,1.3477777777777778
19019,2021-03-09,1.1230555555555556
19019,2021-03-10,0.80673611111111111111
19019,2021-03-11,0.93208333333333333333
19019,2021-03-12,0.84180555555555555556
19019,2021-03-13,0.99465277777777777778
19019,2021-03-14,2.1786111111111111
19019,2021-03-15,1.5996527777777778
19019,2021-03-16,2.2125694444444444
19019,2021-03-17,1.3270138888888889
19019,2021-03-18,2.0950694444444444
19019,2021-03-19,2.0760416666666667
19019,2021-03-20,1.2508333333333333
19019,2021-03-21,1.2656944444444444
19019,2021-03-22,0.79208333333333333333
19019,2021-03-23,1.8728472222222222
19019,2021-03-24,0.59722222222222222222
19019,2021-03-25,0.78604166666666666667
19019,2021-03-26,1.0179861111111111
19019,2021-03-27,0.89319444444444444444
19019,2021-03-28,0.73131944444444444444
19019,2021-03-29,0.79458333333333333333
19019,2021-03-30,0.81604166666666666667
19019,2021-03-31,0.58534722222222222222
19019,2021-04-01,0.80006944444444444444
19019,2021-04-02,1.2525694444444444
19019,2021-04-03,3.3334027777777778
19019,2021-04-04,2.4996527777777778
19019,2021-04-05,1.6093055555555556
19019,2021-04-06,2.7221527777777778
19019,2021-04-07,1.6195833333333333
19019,2021-04-08,1.2690277777777778
19019,2021-04-09,1.1528472222222222
19019,2021-04-10,0.81708333333333333333
19019,2021-04-11,1.2116666666666667
19019,2021-04-12,1.0743055555555556
19019,2021-04-13,1.2366666666666667
19019,2021-04-14,1.7243055555555556
19019,2021-04-15,2.7436805555555556
19019,2021-04-16,1.4471527777777778
19019,2021-04-17,1.4237956204379562
19019,2021-04-18,1.4549305555555556
