Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,6.47194485923907,8.511747851067527,0.7787479922344778,5.072059263657369,6.541148833293663,0.8675085887916967
Gradient Boosting,6.240360911459584,8.232755754632977,0.793014375874628,4.76025951428794,6.226770183414584,0.8799380650180861
Ridge Regression,6.584268231181945,8.559775216630621,0.7762441281241956,6.58131357206044,8.630085326215063,0.7693731626888918
Support Vector Machine,6.315636165797851,8.2977261060538,0.789734552549539,5.613558385481467,7.764217114187611,0.8133297940603258
