Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,6.881950378293479,9.346780801505082,0.92231249193199,5.4681502112832785,7.346786366341815,0.9523168023668624
Gradient Boosting,6.933062815048787,9.293144029442608,0.9232015576524614,5.830627890106833,7.859258873692816,0.945432540233814
Ridge Regression,7.501334386828371,9.923324773140584,0.9124327953983487,7.43505370079235,9.737178168506697,0.9162399781258561
Support Vector Machine,6.665787951853283,9.042538844735562,0.9272877068140847,6.400437119696469,8.841021682715065,0.9309481274837299
