Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,5.785837970637614,7.00750945325489,7.529315108787506,9.39569864716821,0.8318558808268318,0.7323143667182999
Gradient Boosting,6.0969453198694765,6.944161283247997,8.1063555302143,9.453960370176217,0.8050954262707021,0.7289842939195359
Ridge Regression,8.017899534106242,7.709729600954478,10.672588252693863,10.151048979113424,0.6621606400415034,0.6875440841656099
Support Vector,6.949898371813587,6.841289560454291,9.59602536216261,9.22461644457626,0.7268799957846546,0.7419739582908784
