Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,5.878904385979821,8.30598478896961,0.7131693314232421,4.333668989898194,5.725471229216133,0.8478618955077266
Gradient Boosting,5.890263408642586,8.367462959119784,0.7089075647611047,3.2720647682633683,4.351024475604417,0.9121385066907985
Ridge Regression,6.362454390260645,8.6722176351184,0.6873174400971321,6.087518181161939,8.158209989793184,0.6911089768855976
Support Vector Machine,5.69413983243343,8.043024893022729,0.7310434359192675,4.802578302246466,6.993765374667044,0.7729938386340802
