Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,4.601191866504068,6.20348935248086,5.737871400282966,8.007095577386153,0.9005792943952184,0.8013553701109319
Gradient Boosting,4.188725895137613,5.592948099846908,5.295252375786902,7.249263579197201,0.9153262980301742,0.8371774375065213
Ridge Regression,6.094201529295047,6.079050138176645,7.761926463875622,7.75091433652946,0.8180658323930075,0.813863013723499
Support Vector,5.4768089243396805,5.716280091710912,7.144022738522034,7.233423591019029,0.8458793341590505,0.8378882103181903
