Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,0.3376251858306162,0.47291693061370116,0.7681220516937275,0.24893615854523554,0.3375799454197618,0.8745766335288228
Gradient Boosting,0.3461060188517085,0.4803408272258632,0.7607848241443319,0.27250042815254233,0.37283631556106756,0.8470105119797322
Ridge Regression,0.36990867636964053,0.5077805002243394,0.7326736536435082,0.33693621794793843,0.46340689943636887,0.7636529602256368
Support Vector Machine,0.3371459427083116,0.47817275017338845,0.7629394045524143,0.29488840922485776,0.42211982027168926,0.8038913882698041
