Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,test R2
Random Forest,5.248935506687746,6.703207486232639,7.062952671723878,9.590676925589193,0.8418851197127946,0.7285830458687761
Gradient Boosting,5.617629164389535,6.62393473893214,7.692313952287679,9.449188632328992,0.8124512587732957,0.7365322350877085
Ridge Regression,7.14344903406343,7.46221583829788,9.653542071560759,10.332020761429236,0.7046251332776516,0.6850011342868177
Support Vector,5.934722445684365,6.599889611726851,8.468958840892167,9.413652521721014,0.772668197313872,0.7385101857301164
