Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,8.610819741101997,11.020443397152238,0.7414115450506609,7.484595684919858,9.517672167310469,0.8134469895778285
Gradient Boosting,8.612214167909963,10.83249924214476,0.7501563422930356,7.883737143372293,10.075098550749107,0.7909551925806892
Ridge Regression,8.809206496384805,11.07213046576929,0.7389802413416233,9.058804857867091,11.627815074747835,0.721556546902218
Support Vector Machine,8.542993486208147,10.830341004287263,0.7502558887249154,8.336188478391012,10.914316710580257,0.754679476737643
