Model,Test MAE,Test RMSE,Test R2,Train MAE,Train RMSE,Train R2
Random Forest,4.9310993300411035,7.205575369415192,0.6104739691643698,3.260770035138685,4.283058463477792,0.8967303681973582
Gradient Boosting,4.759870522645122,6.730045141722628,0.6601908180911735,3.3847566842013594,4.6406314498671115,0.8787675780633291
Ridge Regression,5.094208904640027,6.78080624143641,0.6550454921138326,5.377000217956836,7.159805589548339,0.711419432158215
Support Vector Machine,4.567167478692163,6.384606199920206,0.6941789424742308,4.448126420238669,6.342146241152728,0.7735683519032239
